,watt,Ir,Iy,Ib,Vr,Vy,Vb,PF,distance
69,18,10.64,5.489999999999999,5.859999999999999,240.67000000000002,241.53,242.42000000000002,0.982,90
70,18,10.69,5.52,5.89,239.33,240.46,240.87,0.982,90
71,18,10.719999999999999,5.55,5.91,238.54000000000002,239.5,240.20000000000002,0.983,90
72,18,10.76,5.569999999999999,5.93,237.52,238.75,239.54000000000002,0.983,90
73,18,10.81,5.6,5.97,236.08,237.20000000000002,237.91,0.983,90
74,18,10.81,5.62,5.9799999999999995,235.74,236.70000000000002,237.49,0.983,90
75,18,10.87,5.66,6.02,234.09,235.18,236.12,0.983,90
76,18,10.9,5.67,6.029999999999999,233.38,234.57,235.41,0.983,90
77,18,10.92,5.6899999999999995,6.05,232.89000000000001,233.8,234.33,0.983,90
78,18,10.95,5.71,6.069999999999999,232.08,232.8,233.74,0.983,90
79,18,11.0,5.739999999999999,6.09,230.67000000000002,231.91,232.63,0.983,90
80,18,10.98,5.7299999999999995,6.1,231.49,232.39000000000001,233.22,0.983,90
81,18,11.15,5.819999999999999,6.18,229.39000000000001,230.45000000000002,231.46,0.983,90
82,18,10.86,5.6499999999999995,6.5,234.05,234.78,235.52,0.983,90
83,18,10.82,5.6499999999999995,6.4799999999999995,234.56,234.94,236.16,0.983,90
84,18,10.9,5.6899999999999995,6.55,231.85,232.86,233.1,0.983,90
85,18,10.82,5.64,6.47,233.75,235.21,235.89000000000001,0.982,90
86,18,10.75,5.59,6.43,235.12,236.34,237.08,0.983,90
87,18,10.719999999999999,5.6,6.43,235.1,236.33,237.35,0.983,90
88,18,10.719999999999999,5.6,6.4399999999999995,235.24,236.61,237.20000000000002,0.983,90
89,18,10.7,5.58,6.42,236.1,237.41,237.69,0.983,90
90,18,10.709999999999999,5.6,6.449999999999999,235.49,236.63,237.1,0.98,120
91,18,10.75,5.62,6.46,234.98000000000002,236.15,236.8,0.98,120
92,18,10.83,5.6499999999999995,6.489999999999999,233.82,235.07,236.03,0.98,120
93,18,10.129999999999999,5.67,6.529999999999999,233.87,235.28,235.73000000000002,0.978,120
94,18,10.08,5.66,6.529999999999999,233.34,234.86,234.95000000000002,0.979,120
95,18,9.99,5.62,6.4799999999999995,236.28,237.9,238.12,0.978,120
96,18,9.969999999999999,5.64,6.489999999999999,238.53,240.21,240.13,0.979,120
97,18,9.75,5.34,6.16,248.32,249.28,249.92000000000002,0.977,120
98,18,9.76,5.34,6.17,247.94,249.07,249.93,0.978,120
99,18,10.42,5.33,6.1499999999999995,248.76000000000002,249.89000000000001,250.65,0.978,120
100,18,10.4,5.33,6.14,248.97,250.05,250.69,0.979,120
101,18,10.41,5.34,6.1499999999999995,248.68,249.55,250.46,0.979,120
102,18,10.379999999999999,5.319999999999999,6.14,249.19,250.20000000000002,250.92000000000002,0.978,120
103,18,10.42,5.35,6.1499999999999995,248.55,249.33,250.20000000000002,0.978,120
104,18,10.48,5.38,6.1899999999999995,247.38,248.56,248.97,0.979,120
105,18,10.459999999999999,5.37,6.1899999999999995,247.51000000000002,248.52,249.14000000000001,0.979,120
106,18,10.459999999999999,5.38,6.199999999999999,246.78,247.95000000000002,248.83,0.979,120
107,18,10.5,5.41,6.22,245.84,246.87,247.98000000000002,0.979,120
108,18,10.51,5.43,6.2299999999999995,245.32,246.33,247.24,0.979,120
109,18,10.549999999999999,5.449999999999999,6.26,244.04000000000002,245.11,246.29000000000002,0.979,120
110,18,10.57,5.46,6.27,243.22,244.6,245.44,0.979,120
111,18,10.58,5.46,6.279999999999999,243.06,244.51000000000002,245.03,0.979,120
112,18,10.6,5.47,6.279999999999999,242.79000000000002,243.97,244.72,0.979,120
113,18,10.6,5.4799999999999995,6.29,242.55,243.6,244.23000000000002,0.98,120
114,18,10.59,5.4799999999999995,6.29,241.98000000000002,243.20000000000002,244.04000000000002,0.979,120
115,18,10.64,5.52,6.34,240.6,241.26000000000002,242.38,0.979,120
116,18,10.68,5.55,6.359999999999999,239.34,240.58,241.64000000000001,0.979,120
117,18,10.7,5.56,6.38,238.84,240.0,241.02,0.98,120
118,18,10.719999999999999,5.58,6.41,238.13,238.91,240.16,0.98,120
119,18,10.77,5.6,6.43,236.9,237.8,239.15,0.98,120
120,18,10.81,5.62,6.449999999999999,235.75,236.95000000000002,238.03,0.977,150
121,18,10.87,5.62,6.449999999999999,234.45000000000002,236.9,238.16,0.976,150
122,18,10.78,5.62,6.46,235.68,236.22,237.69,0.976,150
123,18,10.78,5.62,6.449999999999999,235.91,236.49,237.75,0.977,150
124,18,10.77,5.609999999999999,6.46,235.87,236.61,237.59,0.976,150
125,18,10.7,5.58,6.42,237.23000000000002,238.11,238.92000000000002,0.977,150
126,18,10.66,5.569999999999999,6.41,237.51000000000002,238.61,239.18,0.977,150
127,18,10.6,5.529999999999999,6.359999999999999,238.92000000000002,239.83,240.94,0.976,150
128,18,10.61,5.51,6.34,240.03,241.03,241.86,0.976,150
129,18,10.62,5.52,6.359999999999999,239.24,240.35,241.1,0.976,150
130,18,10.61,5.51,6.34,239.81,240.98000000000002,241.70000000000002,0.976,150
131,18,10.58,5.5,6.34,240.16,241.48000000000002,242.29000000000002,0.976,150
132,18,10.57,5.529999999999999,6.359999999999999,239.18,240.88,241.27,0.976,150
133,18,10.6,5.54,6.38,238.8,240.24,240.89000000000001,0.976,150
134,18,10.73,5.609999999999999,6.46,235.72,237.47,237.86,0.976,150
135,18,10.07,5.66,6.529999999999999,234.18,235.75,236.03,0.976,150
136,18,10.049999999999999,5.6499999999999995,6.06,235.02,236.45000000000002,236.9,0.976,150
137,18,9.99,5.64,6.05,237.0,238.4,238.88,0.975,150
138,18,9.86,5.41,5.8,246.54000000000002,247.69,248.47,0.974,150
139,18,9.85,5.3999999999999995,5.8,246.67000000000002,247.88,248.8,0.974,150
140,18,9.84,5.39,5.79,247.25,248.13,249.17000000000002,0.975,150
141,18,9.85,5.3999999999999995,5.79,246.74,247.87,248.79000000000002,0.975,150
142,18,9.81,5.38,5.77,247.79000000000002,248.64000000000001,249.67000000000002,0.975,150
143,18,9.84,5.3999999999999995,5.779999999999999,247.01000000000002,248.01000000000002,249.07,0.974,150
144,18,9.85,5.41,5.79,246.57,247.5,248.57,0.975,150
145,18,9.86,5.42,5.81,246.04000000000002,246.96,248.03,0.974,150
146,18,9.77,5.699999999999999,6.12,232.69,234.01000000000002,234.72,0.976,150
147,18,10.43,5.699999999999999,6.12,232.74,234.04000000000002,234.58,0.977,150
148,18,10.43,5.71,6.12,232.39000000000001,233.5,234.28,0.977,150
149,18,10.42,5.71,6.13,232.01000000000002,233.47,234.18,0.977,150
150,18,10.44,5.699999999999999,6.109999999999999,232.68,234.18,234.66,0.974,180
151,18,10.41,5.67,6.08,233.69,235.19,235.57,0.974,180
152,18,10.44,5.71,6.13,232.06,233.36,233.99,0.973,180
153,18,10.35,5.64,6.06,234.75,236.26000000000002,236.78,0.973,180
154,18,10.35,5.66,6.08,234.0,235.36,235.94,0.973,180
155,18,9.65,5.6899999999999995,6.1,233.26000000000002,234.67000000000002,235.08,0.973,180
156,18,9.62,5.68,6.09,234.01000000000002,235.47,236.06,0.973,180
157,18,9.15,5.699999999999999,6.12,233.64000000000001,234.8,235.27,0.973,180
158,18,9.56,5.68,6.09,235.99,237.38,237.93,0.972,180
159,18,9.79,1.45,6.1899999999999995,248.21,249.73000000000002,250.04000000000002,0.971,180
160,18,9.79,1.45,6.18,248.39000000000001,249.9,250.26000000000002,0.972,180
161,18,9.76,1.45,6.17,248.98000000000002,250.65,250.94,0.971,180
162,18,9.77,1.45,6.18,248.57,249.98000000000002,250.13,0.971,180
163,18,9.76,1.45,6.17,248.61,250.28,250.49,0.972,180
164,18,9.77,1.45,6.1899999999999995,248.06,249.56,249.93,0.971,180
165,18,9.81,1.46,6.21,247.12,248.57,248.86,0.972,180
166,18,10.459999999999999,1.46,6.199999999999999,247.36,248.98000000000002,249.35,0.973,180
167,18,10.51,1.46,6.22,246.54000000000002,248.5,248.53,0.974,180
168,18,10.53,1.46,6.25,245.52,247.28,247.34,0.973,180
169,18,10.53,1.47,6.26,245.41,247.06,247.1,0.974,180
170,18,10.52,1.47,6.26,245.27,246.75,247.18,0.973,180
171,18,10.6,1.48,6.3,243.33,244.91,245.19,0.974,180
172,18,10.58,1.48,6.29,243.81,245.31,245.6,0.974,180
173,18,10.6,1.49,6.34,241.97,243.41,243.82,0.973,180
174,18,10.64,1.49,6.34,241.12,242.82,243.15,0.973,180
175,18,10.66,1.49,6.37,240.29000000000002,241.91,242.11,0.973,180
176,18,10.79,1.51,6.4399999999999995,237.11,238.91,239.22,0.974,180
177,18,10.73,1.5,6.42,238.41,240.03,240.27,0.974,180
178,18,10.74,1.5,6.43,237.56,239.47,239.73000000000002,0.974,180
179,18,10.799999999999999,1.51,6.46,236.14000000000001,237.88,238.13,0.974,180
